CONSOMMABLES,EPI,HELIOS DICA SL,"16955,02"
CONSOMMABLES,MAT PREMIÈRE MÉCANIQUE,GANTOIS,2060
EMBALLAGES,ASSISTANCE TECHNIQUE,GEOTECHNIQUE RHONE ALPES SAS,31240
EMBALLAGES,CONTRÔLES ET RÉGLEMENTATION,CDV CONCEPT,5225
EQUIPEMENTS,ELECTRICITÉ,BALOGH,"4939,42"
EQUIPEMENTS,INSTRUMENTATION,BLET SA,"828,1"
EQUIPEMENTS,INSTRUMENTATION,PROMAT SECURITE,"4182,11"
EQUIPEMENTS,INSTRUMENTATION,SETNAG,785
ETUDES,ASSISTANCE TECHNIQUE,"2C,2I",3687
ETUDES,ASSISTANCE TECHNIQUE,ABYLSEN ST/RA,"221069,99"
ETUDES,ASSISTANCE TECHNIQUE,ALPHA MAINTENANCE,31570
ETUDES,ASSISTANCE TECHNIQUE,"ATELIER B,A,T,","255047,6"
ETUDES,ASSISTANCE TECHNIQUE,ATS PREVENTION,"64847,81"
ETUDES,ASSISTANCE TECHNIQUE,B2 INGENIERIE,"10683,9"
ETUDES,ASSISTANCE TECHNIQUE,BEDS,12500
ETUDES,ASSISTANCE TECHNIQUE,BESI,"80301,6"
ETUDES,ASSISTANCE TECHNIQUE,"BOUESNARD F, ARCHITECTE","21008,47"
ETUDES,ASSISTANCE TECHNIQUE,BOUTEFEU INGENIERIA SL,"23640,43"
ETUDES,ASSISTANCE TECHNIQUE,BSI PM ENGINEERING SAS,"1089,5"
ETUDES,ASSISTANCE TECHNIQUE,CONSULTING INDUSTRIAL SYSTEM,"11951,5"
ETUDES,ASSISTANCE TECHNIQUE,CREAT SARL,"280203,05"
ETUDES,ASSISTANCE TECHNIQUE,DEKRA CONSEIL HSE,"36750,5"
ETUDES,ASSISTANCE TECHNIQUE,DIDIER PIERRON,5200
ETUDES,ASSISTANCE TECHNIQUE,ERAS E2I,80155
ETUDES,ASSISTANCE TECHNIQUE,GEA PROCESS ENGINEERING SPA,"432770,53"
ETUDES,ASSISTANCE TECHNIQUE,GEO CONSEIL,3790
ETUDES,ASSISTANCE TECHNIQUE,HONEYWELL,"19428,8"
ETUDES,ASSISTANCE TECHNIQUE,IFOTEC,"96565,17"
ETUDES,ASSISTANCE TECHNIQUE,IM PROJET,108680
ETUDES,ASSISTANCE TECHNIQUE,INAUV,19000
ETUDES,ASSISTANCE TECHNIQUE,"INERCO INGENIERIA, TECN,Y CONSULTOR",8200
ETUDES,ASSISTANCE TECHNIQUE,IREPOLIA,16300
ETUDES,ASSISTANCE TECHNIQUE,ITC INGENIERIE TECHNIQUE,44370
ETUDES,ASSISTANCE TECHNIQUE,ODZ   CONSULTANTS,"10188,5"
ETUDES,ASSISTANCE TECHNIQUE,OREM ASTRE,"245870,32"
ETUDES,ASSISTANCE TECHNIQUE,PRO ETUD,75570
ETUDES,ASSISTANCE TECHNIQUE,PROGREDI,"129714,03"
ETUDES,ASSISTANCE TECHNIQUE,SELARL BOURGUIGNON-CELLIER-LACOUR-,2705
ETUDES,ASSISTANCE TECHNIQUE,SETP,2522
ETUDES,ASSISTANCE TECHNIQUE,SOFRESID ENGINEERING SA,1000
ETUDES,ASSISTANCE TECHNIQUE,SPEC SA,"10104,75"
ETUDES,CONTRÔLES ET RÉGLEMENTATION,APAVE SUD EUROPE,"25765,42"
ETUDES,CONTRÔLES ET RÉGLEMENTATION,APAVE SUDEUROPE,"123566,38"
ETUDES,CONTRÔLES ET RÉGLEMENTATION,APPLUS RTD FRANCE,2100
ETUDES,CONTRÔLES ET RÉGLEMENTATION,"ATISAE-ASISTENCIA TECNICA IND,SAE","14514,7"
ETUDES,CONTRÔLES ET RÉGLEMENTATION,"B,  C,  S,",605
ETUDES,CONTRÔLES ET RÉGLEMENTATION,BALANZAS Y SISTEMAS BIZERBA SA,2899
ETUDES,CONTRÔLES ET RÉGLEMENTATION,"BUENAVENTURA GINER S,A,",2855
ETUDES,CONTRÔLES ET RÉGLEMENTATION,BUREAU VERITAS,"161746,43"
ETUDES,CONTRÔLES ET RÉGLEMENTATION,CENTRE PESAGE,"44867,24"
ETUDES,CONTRÔLES ET RÉGLEMENTATION,COREXCO,1480
ETUDES,CONTRÔLES ET RÉGLEMENTATION,DB VIB CONSULTING,"9319,5"
ETUDES,CONTRÔLES ET RÉGLEMENTATION,DNV - DET NORSKE VERITAS FRANCE,3804
ETUDES,CONTRÔLES ET RÉGLEMENTATION,EPONA,"33125,4"
MOYENS MATÉRIELS,SIGNALÉTIQUE,SIRAC SIGNALISATION,"576,97"
Non affecté,BÂTIMENT / SECOND OEUVRE,DIC,"16753,16"
Non affecté,BÂTIMENT / SECOND OEUVRE,MSM MANCINI SERRURERIE METALLERIE,3597
Non affecté,Non affecté,"C,TECN,VEHICULO AUTOPROPULSADO SL","4146,4"
Non affecté,Non affecté,DIOXLAB,745
PRESTATIONS INDUSTRIELLES,BÂTIMENT / SECOND OEUVRE,NBTP,"17730,92"
PRESTATIONS INDUSTRIELLES,Non affecté,EPCO MEDITERRANEE,10500
PRESTATIONS INDUSTRIELLES,PLOMBERIE,LOPEZ PLOMBERIE ELECTRICITE,"45548,94"
PRESTATIONS INDUSTRIELLES,TUYAUTERIE - CHAUDONNERIE,SOVAP,1800
